okres   ilość 
2017_08 1174
2017_07 1196
2017_06 1307
2017_05 1177
2017_04 1010
2017_03 1045
2017_02 933
2017_01 933
2016_12 925
2016_11 1045
2016_10 1192
2016_09 1176
2016_08 1113
2016_07 1094
2016_06 1050
2016_05 1019
2016_04 983
2016_03 969
2016_02 896
2016_01 954
2015_12 952
2015_11 1056
2015_10 1132
2015_09 1113
2015_08 1096
2015_07 1256
2015_06 1141
2015_05 1020
2015_04 966
2015_03 870
2015_02 784
2015_01 873
2014_12 876
2014_11 891
2014_10 977
2014_09 935
2014_08 866
2014_07 994
2014_06 975
2014_05 853
2014_04 848
2014_03 755
2014_02 713
2014_01 702
2013_12 730
2013_11 739
2013_10 828
2013_09 772
2013_08 771
2013_07 873
2013_06 686
2013_05 667
2013_04 678
2013_03 668
2013_02 624
2013_01 583
2012_12 678
2012_11 690
2012_10 829
2012_09 688
2012_08 765
2012_07 754
2012_06 739
2012_05 670
2012_04 661
2012_03 622
2012_02 603
2012_01 592
2011_12 666
2011_11 719
2011_10 700
2011_09 667
2011_08 706
2011_07 697
2011_06 676
2011_05 667
2011_04 668
2011_03 754
2011_02 682
2011_01 676
2010_12 625
2010_11 682
2010_10 651
2010_09 679
2010_08 749
2010_07 834
2010_06 728
2010_05 639
2010_04 718
2010_03 653
2010_02 593
2010_01 595
2009_12 586
2009_11 633
2009_10 747
2009_09 745
2009_08 761
2009_07 811
2009_06 731
2009_05 704
2009_04 705
2009_03 710
2009_02 621
2009_01 648
2008_12 638
2008_11 660
2008_10 760
2008_09 714
2008_08 726
2008_07 755
2008_06 757
2008_05 691
2008_04 691
2008_03 682
2008_02 557
2008_01 648
2007_12 647
2007_11 695
2007_10 743
2007_09 709
2007_08 741
2007_07 816
2007_06 754
2007_05 705
2007_04 723
2007_03 717
2007_02 662
2007_01 653
2006_12 738
2006_11 721
2006_10 728
2006_09 816
2006_08 750
2006_07 807
2006_06 687
2006_05 737
2006_04 710
2006_03 716
2006_02 615
2006_01 644
2005_12 640
2005_11 668
2005_10 809
2005_09 799
2005_08 815
2005_07 841
2005_06 805
2005_05 759
2005_04 626
2005_03 652
2005_02 641
2005_01 643
2004_12 752
2004_11 735
2004_10 712
2004_09 787
2004_08 811
2004_07 803
2004_06 737
2004_05 689
2004_04 725
2004_03 751
2004_02 641
2004_01 680
2003_12 655
2003_11 680
2003_10 794
2003_09 751
2003_08 823
2003_07 899
2003_06 775
2003_05 679
2003_04 729
2003_03 711
2003_02 584
2003_01 636
2002_12 674
2002_11 687
2002_10 802
2002_09 735
2002_08 775
2002_07 827
2002_06 739
2002_05 725
2002_04 651
2002_03 667
2002_02 641
2002_01 612
2001_12 589
2001_11 632
2001_10 759
2001_09 637
2001_08 705
2001_07 694
2001_06 633
2001_05 631
2001_04 581
2001_03 597
2001_02 611
2001_01 512
2000_12 596
2000_11 590
2000_10 632
2000_09 593
2000_08 662
2000_07 642
2000_06 571
2000_05 613
2000_04 485
2000_03 536
2000_02 531
2000_01 502
